club_name,end_of_spell
Panserraikos,2018-04-25
PAE Veria,2018-01-30
Asteras Tripoli,2017-03-08
A. Tripolis U20,2017-05-31
AE Karaiskakis,2016-05-25
Olymp. Volou,2015-10-15
Tyrnavos 2005,2015-06-30
AO Kavala,2013-11-24
Nea Salamis,2013-09-07
Niki Volou,2013-06-30
Niki Volou,2012-03-20
Doxa Dramas,2011-12-08
GS Kallithea,2011-06-30
Niki Volou,2011-02-07
PAE Veria,2010-11-22
AO Trikala,2010-01-25
Eordaikos 2007,2009-11-23
AS Fokikos,2009-06-30
AE Polykastrou,2008-06-30
OF Ierapetras,2007-06-30
Proodeftiki,2024-06-30
Fostiras,2023-03-11
Proodeftiki,2022-05-18
Ionikos Nikeas,2020-01-21
APO Keratsini,2018-10-08
Acharnaikos,2016-10-02
Acharnaikos,2016-04-05
Ethn. Piraeus,2012-04-09
PAO Rouf,2012-02-27
Vyzas Megaron,2010-06-30
PAO Rouf,2010-05-18
Ast. Magoulas,2007-06-30
AMES Nireas,2006-06-30
Aet. Korydallou,2005-12-31
APO Keratsini,2004-11-07
AS Fokikos,2019-02-05
Ionikos Nikeas,2018-06-30
Ionikos Nikeas,2012-05-29
Aias Salaminas,2022-06-30
Charavgiakos,2021-10-31
Ionikos Nikeas,2017-11-22
Ionikos Nikeas,2017-08-08
Agios Ierotheos,2016-12-01
Ionikos Nikeas,2016-06-30
Atrom. Piraeus,2015-03-04
Ethn. Piraeus,2014-12-23
Mandraikos,2012-05-03
Proodeftiki,2012-02-01
Aias Salaminas,2021-06-30
APO Keratsini,2019-06-30
Ionikos Nikeas,2017-08-28
AO Zevgolatiou,2017-01-24
Atrom. Piraeus,2016-06-30
Atrom. Piraeus,2015-02-04
Atrom. Piraeus,2014-01-20
Aias Salaminas,2008-05-31
APO Keratsini,2006-02-05
Aris Petroupolis,2023-05-23
Fostiras,2022-06-30
GS Marko,2021-06-30
GS Kallithea,2020-05-23
AO Egaleo,2019-11-18
Ethn. Piraeus,2019-03-10
Proodeftiki,2018-06-30
Ionikos Nikeas,2017-07-28
Atromitos,2017-02-13
GS Kallithea,2016-06-30
AEL Kalloni,2012-12-21
AEL Kalloni,2013-04-23
GS Kallithea,2012-06-30
Ast. Kesarianis,2023-06-30
AEK Athens U19,2022-06-30
AEK Athens U19,2019-08-25
AE Kifisias,2019-06-30
AO Egaleo,2017-12-04
Ionikos Nikeas,2017-03-13
Triglia Rafinas,2016-06-14
Ionikos Nikeas,2014-12-24
AOT Alimou,2014-09-15
Vyzas Megaron,2021-11-29
AO Karavas,2020-10-04
AO Egaleo,2018-11-06
AE Mylopotamou,2017-12-27
PASA Irodotos,2017-06-30
Ira. Psachnon,2016-02-15
Ionikos Nikeas,2015-12-31
Thyella Rafinas,2018-12-14
Atrom. Piraeus,2015-12-06
Ionikos Nikeas,2015-03-30
GS Kallithea,2014-11-19
Atromitos U20,2011-06-30
Ag. Dimitrios,2003-06-30
Thrasyvoulos,2003-02-10
Atromitos U19,2020-06-30
AO Ypatou,2018-11-28
Atromitos U20,2017-06-01
Mandraikos,2015-06-30
Panelefsiniakos,2014-12-04
Ionikos Nikeas,2014-06-30
Triglia Rafinas,2017-10-09
AEK Athens,2017-05-31
